CUSTOMERKEY,GEOGRAPHYKEY,CUSTOMERALTERNATEKEY,TITLE,FIRSTNAME,MIDDLENAME,LASTNAME,NAMESTYLE,BIRTHDATE,MARITALSTATUS,SUFFIX,GENDER,EMAILADDRESS,YEARLYINCOME,TOTALCHILDREN,NUMBERCHILDRENATHOME,ENGLISHEDUCATION,SPANISHEDUCATION,FRENCHEDUCATION,ENGLISHOCCUPATION,SPANISHOCCUPATION,FRENCHOCCUPATION,HOUSEOWNERFLAG,NUMBERCARSOWNED,ADDRESSLINE1,ADDRESSLINE2,PHONE,DATEFIRSTPURCHASE,COMMUTEDISTANCE
23659,33,AW00023659,,Drew,,Shan,0,8/10/1977,S,,M,drew11@adventure-works.com,110000,0,5,High School,Educación secundaria,Bac + 2,Management,Gestión,Direction,1,4,1284 Poppy Pl.,,1 (11) 500 555-0126,27-09-2012,10+ Miles
23660,11,AW00023660,,Christy,R,Tang,0,20-05-1978,S,,F,christy23@adventure-works.com,160000,2,5,High School,Educación secundaria,Bac + 2,Management,Gestión,Direction,1,4,8546 La Mar Ct.,,1 (11) 500 555-0165,8/9/2012,0-1 Miles
23661,13,AW00023661,,Abigail,,Washington,0,25-06-1977,S,,F,abigail38@adventure-works.com,90000,0,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,0,3,5051 Teakwood Dr,,1 (11) 500 555-0162,22-09-2012,10+ Miles
23662,9,AW00023662,,Cynthia,S,Sanchez,0,2/11/1981,S,,F,cynthia26@adventure-works.com,100000,0,5,Partial High School,Educación secundaria (en curso),Niveau bac,Professional,Profesional,Cadre,1,4,8785 Whitehall Drive,,1 (11) 500 555-0114,12/9/2012,10+ Miles
23667,611,AW00023667,,Harold,,Arun,0,24-03-1954,M,,M,harold4@adventure-works.com,30000,4,0,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,1,2,5923 Hazelwood Lane,,290-555-0125,22-12-2013,5-10 Miles
23668,536,AW00023668,,Jessica,A,Hughes,0,3/1/1953,M,,F,jessica36@adventure-works.com,40000,4,0,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,1,2,4430 Ana Cortez,,502-555-0117,14-10-2013,5-10 Miles
23669,348,AW00023669,,Sean,,Torres,0,31-10-1942,S,,M,sean11@adventure-works.com,50000,3,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,2,5847 W. Buchanan,,741-555-0152,19-12-2013,10+ Miles
23670,548,AW00023670,,Mya,D,Henderson,0,3/6/1944,M,,F,mya7@adventure-works.com,60000,3,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,2,6985 Matterhorn Ct,,647-555-0186,29-01-2013,10+ Miles
23671,611,AW00023671,,Fernando,L,Thomas,0,4/8/1944,M,,M,fernando10@adventure-works.com,60000,3,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,2,1832 RiverRock Dr,,135-555-0115,26-09-2013,1-2 Miles
23672,633,AW00023672,,Abigail,L,Flores,0,19-10-1944,M,,F,abigail37@adventure-works.com,60000,3,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,2,8429 East Narrows Drive,,241-555-0174,8/6/2013,1-2 Miles
23673,55,AW00023673,,Kayla,A,Miller,0,4/3/1950,M,,F,kayla6@adventure-works.com,60000,3,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,2,4511 Bellwood Dr.,,234-555-0164,20-05-2013,10+ Miles
23674,316,AW00023674,,Jeremiah,A,Walker,0,6/11/1944,M,,M,jeremiah11@adventure-works.com,60000,3,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,0,2,7227 Landing Terrace,,297-555-0169,22-12-2013,1-2 Miles
23675,609,AW00023675,,Emmanuel,,Prasad,0,15-11-1945,S,,M,emmanuel9@adventure-works.com,60000,3,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,4666 Lancelot Drive,,643-555-0140,19-09-2013,10+ Miles
