CUSTOMERKEY,GEOGRAPHYKEY,CUSTOMERALTERNATEKEY,TITLE,FIRSTNAME,MIDDLENAME,LASTNAME,NAMESTYLE,BIRTHDATE,MARITALSTATUS,SUFFIX,GENDER,EMAILADDRESS,YEARLYINCOME,TOTALCHILDREN,NUMBERCHILDRENATHOME,ENGLISHEDUCATION,SPANISHEDUCATION,FRENCHEDUCATION,ENGLISHOCCUPATION,SPANISHOCCUPATION,FRENCHOCCUPATION,HOUSEOWNERFLAG,NUMBERCARSOWNED,ADDRESSLINE1,ADDRESSLINE2,PHONE,DATEFIRSTPURCHASE,COMMUTEDISTANCE
24992,307,AW00024992,,Faith,L,Bryant,0,9/3/1963,M,,F,faith17@adventure-works.com,70000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Skilled Manual,Obrero especializado,Technicien,1,2,6267 Morello Heights Circle,,154-555-0170,5/6/2013,10+ Miles
24993,310,AW00024993,,Marvin,L,Ortega,0,19-03-1963,M,,M,marvin22@adventure-works.com,70000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Skilled Manual,Obrero especializado,Technicien,1,2,4942 Frigate Ct,,337-555-0164,9/12/2013,10+ Miles
24994,358,AW00024994,,Lauren,,Sanders,0,17-12-1969,M,,F,lauren46@adventure-works.com,60000,3,1,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,1,2,5242 Marvelle Ln.,,122-555-0115,28-01-2013,10+ Miles
24995,69,AW00024995,,Melissa,S,Peterson,0,19-05-1959,S,,F,melissa27@adventure-works.com,60000,3,1,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,1,2,8162 Laurel Dr,,694-555-0132,21-03-2013,10+ Miles
24996,300,AW00024996,,Dylan,,Miller,0,4/9/1958,M,,M,dylan33@adventure-works.com,60000,3,1,Partial High School,Educación secundaria (en curso),Niveau bac,Skilled Manual,Obrero especializado,Technicien,1,3,6410 Argenta Drive,,160-555-0122,31-10-2013,10+ Miles
24997,302,AW00024997,,Melvin,M,Kumar,0,31-03-1959,S,,M,melvin8@adventure-works.com,60000,3,1,Partial High School,Educación secundaria (en curso),Niveau bac,Skilled Manual,Obrero especializado,Technicien,1,3,1646 Twinview Drive,,246-555-0119,19-12-2013,10+ Miles
24998,302,AW00024998,,Olivia,,Martinez,0,12/10/1973,S,,F,olivia16@adventure-works.com,130000,1,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,3,9518 Stanley Dollar Dr.,,314-555-0182,2/4/2013,0-1 Miles
24999,307,AW00024999,,Shaun,,Jai,0,23-10-1973,S,,M,shaun12@adventure-works.com,150000,1,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,0,0,5199 James Donlon Blvd,,127-555-0114,18-09-2013,0-1 Miles
25000,637,AW00025000,,Allison,A,Turner,0,16-04-1985,S,,F,allison27@adventure-works.com,40000,0,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,0,2,9018 Valley Crest Drive,,851-555-0152,13-12-2013,1-2 Miles
25001,18,AW00025001,,Clayton,W,Xu,0,22-02-1955,M,,M,clayton25@adventure-works.com,20000,4,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,9115 Arthur Rd.,,1 (11) 500 555-0190,7/7/2013,5-10 Miles
